0x5C11: shǎo,shao,shào  # 少
0x5C14: ěr  # 尔
0x5C16: jiān  # 尖
0x5C18: chén  # 尘
0x5C1A: shàng,shang  # 尚
0x5C1D: cháng  # 尝
0x5C24: yoú  # 尤
0x5C31: jiù  # 就
0x5C38: shī  # 尸
0x5C3A: chǐ  # 尺
0x5C3D: jǐn,jìn  # 尽
0x5C3E: wěi  # 尾
0x5C3F: niào  # 尿
0x5C40: jú  # 局
0x5C41: pì  # 屁
0x5C42: céng  # 层
0x5C45: jū  # 居
0x5C46: jiè  # 屆
0x5C48: qū,qu  # 屈
0x5C49: ti  # 屉
0x5C4A: jiè  # 届
0x5C4B: wū  # 屋
0x5C4E: shǐ  # 屎
0x5C4F: píng  # 屏
0x5C51: xiè  # 屑
0x5C55: zhǎn,zhan  # 展
0x5C5C: ti  # 屜
0x5C5E: shǔ  # 属
0x5C60: tú  # 屠
0x5C64: céng  # 層
0x5C6C: shǔ  # 屬
0x5C71: shān  # 山
0x5C79: yì  # 屹
0x5C7F: yǔ  # 屿
0x5C81: suì  # 岁
0x5C82: qǐ  # 岂
0x5C96: qū  # 岖
0x5C97: gǎng,gāng  # 岗
0x5C9B: dǎo  # 岛
0x5CA1: gāng  # 岡
0x5CA9: yán  # 岩
0x5CAD: lǐng  # 岭
0x5CB8: àn  # 岸
0x5CE1: xiá  # 峡
0x5CE6: luán  # 峦
0x5CE8: é  # 峨
0x5CED: qiào  # 峭
0x5CF0: fēng  # 峰
0x5CF6: dǎo  # 島
0x5CFB: jùn  # 峻
0x5CFD: xiá  # 峽
0x5D07: chóng  # 崇
0x5D0E: qí  # 崎
0x5D16: yá  # 崖
0x5D17: gǎng,gāng  # 崗
0x5D29: bēng  # 崩
0x5D2D: zhǎn  # 崭
0x5D3D: zǎi  # 崽
0x5D4C: qiàn  # 嵌
0x5D84: zhǎn  # 嶄
0x5D87: qū  # 嶇
0x5DBA: lǐng  # 嶺
